community_number,collective_accuracy,collective_accuracy_precision,minority_competence,majority_competence,number_of_minority,influence_minority_proportion,homophily
51, 0.51, 0.19595719525360256, 0.5622596635383108, 0.5962105941181484, 45, 0.5333333333333333, 0.7434055592057625
52, 0.77, 0.16496331193873748, 0.5723039399210408, 0.6462126433441465, 42, 0.4716666666666667, 0.6244580870318042
54, 0.38, 0.19026798975713555, 0.6951090262349888, 0.5755017616828547, 31, 0.4166666666666667, 0.6815059815330903
53, 0.45, 0.19501395417987882, 0.6077736095261372, 0.5850676419845057, 31, 0.485, 0.6207972775196904
55, 0.51, 0.19595719525360256, 0.6671801494552537, 0.6500999497721842, 44, 0.455, 0.7155623577857937
56, 0.3, 0.1796336663708412, 0.6909646562724641, 0.585632442084568, 31, 0.465, 0.624661294145546
57, 0.36, 0.18815654251584524, 0.6517362549019943, 0.5753683855198349, 28, 0.43, 0.6658964603387204
59, 0.56, 0.19458010724830355, 0.6559474316824102, 0.6539699722482576, 42, 0.475, 0.562316825093576
58, 0.49, 0.19595719525360256, 0.6931628913376304, 0.6283365343488928, 28, 0.425, 0.6470806064227047
60, 0.5, 0.1959963984540054, 0.6424755569907239, 0.6307610793084909, 32, 0.48833333333333334, 0.5572790758376276
61, 0.76, 0.1674135106727781, 0.5834915242148682, 0.6618887459220381, 37, 0.4533333333333333, 0.6861958813837659
62, 0.42, 0.19347137966335898, 0.6879259439499006, 0.6176128213013053, 45, 0.44333333333333336, 0.7346013985619979
63, 0.39, 0.1911944615770167, 0.6533273824509997, 0.6290108267800281, 45, 0.5116666666666667, 0.6788043611516239
64, 0.45, 0.19501395417987882, 0.654380136519897, 0.6166853292943014, 33, 0.44, 0.695218468547401
65, 0.67, 0.18431999840011626, 0.590096991330905, 0.6398905256125569, 30, 0.4766666666666667, 0.5633957263405378
67, 0.57, 0.19406612862136763, 0.6253547748581486, 0.6467161676639364, 31, 0.49666666666666665, 0.5144348540514129
66, 0.2, 0.15679711876320435, 0.660999818007964, 0.552012927324229, 34, 0.5083333333333333, 0.5606201919376341
68, 0.42, 0.19347137966335898, 0.6168883369960232, 0.5612355322178137, 35, 0.455, 0.715734171501748
69, 0.73, 0.1740289095017047, 0.62348968796324, 0.6347563510549711, 28, 0.42333333333333334, 0.6854387325959833
70, 0.49, 0.19595719525360256, 0.6270254554572714, 0.5766950298651574, 42, 0.4766666666666667, 0.6793146028112567
71, 0.65, 0.18696864782181133, 0.6027258925736027, 0.6254905680365888, 34, 0.45, 0.665388427988221
72, 0.3, 0.1796336663708412, 0.6903390780799189, 0.5946036468776963, 42, 0.47333333333333333, 0.7200706501821403
73, 0.22, 0.16238156713507995, 0.6984487343071074, 0.5661106377733477, 34, 0.4866666666666667, 0.6332824194639768
75, 0.76, 0.1674135106727781, 0.622380932250129, 0.6774141213808651, 25, 0.4666666666666667, 0.6416556432872734
74, 0.47, 0.19564328684980808, 0.6735965639089937, 0.6461226011791048, 37, 0.46, 0.6814498380889349
76, 0.78, 0.1623815671350799, 0.5507707588809574, 0.6495101973189454, 34, 0.4683333333333333, 0.5744582118869075
77, 0.83, 0.14724535165497632, 0.6222841155343164, 0.672405071710597, 32, 0.43, 0.6756934177687262
79, 0.41, 0.19279511287643258, 0.6731192549555298, 0.612470883650435, 28, 0.47333333333333333, 0.5032745292278002
78, 0.81, 0.15377912894860946, 0.5691644776168451, 0.6687814023750124, 33, 0.465, 0.5769620411132006
80, 0.82, 0.1505987147268466, 0.6544368570489647, 0.6913455521291507, 34, 0.44166666666666665, 0.6828885014640024
81, 0.7, 0.1796336663708411, 0.5553120422300398, 0.6501470489576002, 39, 0.505, 0.5354669579428007
82, 0.5, 0.1959963984540054, 0.6623680714390143, 0.5985121252764702, 25, 0.43, 0.6305846026819308
84, 0.53, 0.19564328684980808, 0.6720308809199957, 0.6460257688915627, 36, 0.4483333333333333, 0.7368526266308434
83, 0.43, 0.19406612862136774, 0.6727725682064047, 0.6108958704001667, 25, 0.48333333333333334, 0.5099582982277913
85, 0.79, 0.15966189505992423, 0.6532088329199868, 0.6822099915269882, 31, 0.4266666666666667, 0.6144517070527684
86, 0.37, 0.18925581112386491, 0.6801280956169095, 0.6123283038552189, 42, 0.48, 0.5973393948391997
87, 0.75, 0.1697378601114259, 0.5698891832249887, 0.6420777884189761, 37, 0.43833333333333335, 0.6875297171894892
88, 0.48, 0.19583953856616937, 0.6024384824075936, 0.5632732339259348, 35, 0.43, 0.6641291991136722
89, 0.37, 0.18925581112386491, 0.6489218550585449, 0.6030658663407351, 43, 0.52, 0.6081249562838565
90, 0.58, 0.19347137966335892, 0.5575195109808864, 0.5777210548022519, 30, 0.45166666666666666, 0.6004469748097861
91, 0.92, 0.10634497998553338, 0.5648263678954453, 0.691605728136639, 31, 0.44333333333333336, 0.5337845192711699
92, 0.31, 0.18129401995062866, 0.6784218940624083, 0.5701202256256372, 45, 0.5283333333333333, 0.5282677475391966
93, 0.46, 0.19536820325328497, 0.6639411068539997, 0.6037863402076188, 28, 0.415, 0.6314680737685932
94, 0.69, 0.18129401995062877, 0.6397603326046056, 0.633159225777224, 28, 0.4116666666666667, 0.7183356809628737
95, 0.48, 0.19583953856616937, 0.59233680968977, 0.5586213022077697, 45, 0.4633333333333333, 0.6906134022520551
96, 0.48, 0.19583953856616937, 0.6846424629361813, 0.6103036328943863, 35, 0.43166666666666664, 0.6634391220663338
97, 0.65, 0.18696864782181133, 0.5611945110856621, 0.624009693371337, 29, 0.5133333333333333, 0.5283284620538576
98, 0.6, 0.1920364670542125, 0.6521414426037604, 0.6513839629278221, 34, 0.4216666666666667, 0.7088267973827214
100, 0.52, 0.19583953856616937, 0.5538991150888363, 0.5802468903071537, 34, 0.5316666666666666, 0.5644403997723112
99, 0.71, 0.17787145596535958, 0.58237462184685, 0.600929959049036, 39, 0.425, 0.6829376092409317
101, 0.66, 0.18569042617903198, 0.6129095207007051, 0.6554647518987907, 30, 0.52, 0.5259639430486205
102, 0.51, 0.19595719525360256, 0.6129858373192911, 0.6125713869128967, 41, 0.4866666666666667, 0.5724523460142428
103, 0.55, 0.19501395417987877, 0.573950895204833, 0.5813561633647693, 28, 0.44, 0.5963935329216553
104, 0.56, 0.19458010724830355, 0.5546892421968066, 0.5500446473082161, 27, 0.425, 0.6481123890508929
105, 0.49, 0.19595719525360256, 0.6449584081654353, 0.6539906702691481, 42, 0.47333333333333333, 0.7498852315464039
106, 0.76, 0.1674135106727781, 0.6337394623982895, 0.658216217566687, 34, 0.40166666666666667, 0.72542274324846
107, 0.59, 0.19279511287643253, 0.6484540484866378, 0.6232061993749848, 33, 0.43166666666666664, 0.7300847750451105
108, 0.76, 0.1674135106727781, 0.5789550829085457, 0.6670895659240413, 32, 0.4766666666666667, 0.6114878539038965
